Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
trees.HoeffdingTree,generators.RandomRBFGenerator,1,22000.0,2.509378,1.433001133509808E-8,22000.0,78.92727272727272,57.85541098598098,57.4053656743844,57.654366094263786,22000.0,55936.0,19.0,10.0,10.0,5.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,23000.0,2.560025,1.50629080273211E-8,23000.0,79.15652173913044,58.31147365700426,57.93998947183716,58.03938730853392,23000.0,55936.0,19.0,10.0,10.0,5.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,24000.0,2.629943,1.6175816437850395E-8,24000.0,79.32916666666667,58.65913775761113,58.34243009488621,58.31442735904544,24000.0,61528.0,21.0,11.0,11.0,5.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,25000.0,2.67563,1.690303184092045E-8,25000.0,79.476,58.95054927957199,58.70090148100451,58.580884727155315,25000.0,61528.0,21.0,11.0,11.0,5.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,26000.0,2.720539,1.7617863555335336E-8,26000.0,79.51153846153846,59.022218086961345,58.8934331352728,58.679801427241706,26000.0,61528.0,21.0,11.0,11.0,5.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,27000.0,2.788369,1.8795663132849667E-8,27000.0,79.65555555555555,59.311227205277675,59.19928693456139,58.97378444992158,27000.0,67120.0,23.0,12.0,12.0,5.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,28000.0,2.83734,1.9645995185193088E-8,28000.0,79.85,59.69489194446888,59.54105414126927,59.23704934614551,28000.0,67120.0,23.0,12.0,12.0,5.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,29000.0,2.88124,2.040827443409297E-8,29000.0,80.01724137931035,60.02936347538485,59.90729209907292,59.58574517051398,29000.0,67120.0,23.0,12.0,12.0,5.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,30000.0,2.945365,2.1614507134589883E-8,30000.0,80.09666666666668,60.18965414963729,60.10556557760407,59.79124579124581,30000.0,72712.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,31000.0,3.017432,2.307439003139734E-8,31000.0,80.22258064516129,60.44223146333677,60.34794981244341,60.07423808283407,31000.0,78304.0,27.0,14.0,14.0,5.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,32000.0,3.068598,2.411087508416838E-8,32000.0,80.4625,60.92113836733313,60.86139977463378,60.54524801211662,32000.0,78304.0,27.0,14.0,14.0,5.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,33000.0,3.122452,2.5201811761491827E-8,33000.0,80.60000000000001,61.19531578643896,61.183532407688126,60.808080808080824,33000.0,78304.0,27.0,14.0,14.0,5.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,34000.0,3.182312,2.6414413787424562E-8,34000.0,80.70882352941176,61.411769096536915,61.356271725681964,61.00707449022056,34000.0,78304.0,27.0,14.0,14.0,5.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,35000.0,3.26277,2.8160670614904826E-8,35000.0,80.89714285714285,61.79139271449555,61.7418173495079,61.47063908257938,35000.0,83896.0,29.0,15.0,15.0,5.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,36000.0,3.340187,2.994170577161842E-8,36000.0,81.02222222222221,62.04355399090704,61.98742558281866,61.77046611829219,36000.0,88928.0,31.0,16.0,16.0,5.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,37000.0,3.420669,3.192134277274211E-8,37000.0,81.18108108108109,62.36340348254635,62.274475808636296,62.08342409061207,37000.0,95080.0,33.0,17.0,17.0,5.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,38000.0,3.478223,3.333701370490922E-8,38000.0,81.35789473684211,62.71606130561398,62.62333139872316,62.4509699989399,38000.0,95080.0,33.0,17.0,17.0,5.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,39000.0,3.530285,3.461759646319681E-8,39000.0,81.45897435897436,62.917819405729205,62.85317990342134,62.64593449736543,39000.0,95080.0,33.0,17.0,17.0,5.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,40000.0,3.593241,3.616614181548357E-8,40000.0,81.55250000000001,63.104820135998175,63.07915540878617,62.7962085308057,40000.0,95080.0,33.0,17.0,17.0,5.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,41000.0,3.689045,3.879984865172041E-8,41000.0,81.6390243902439,63.27850735132282,63.22423058133854,62.94181352761641,41000.0,106264.0,37.0,19.0,19.0,6.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,42000.0,3.748822,4.044315262180235E-8,42000.0,81.75238095238096,63.505435192243255,63.4577790492538,63.171552138395,42000.0,106264.0,37.0,19.0,19.0,6.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,43000.0,3.806107,4.201795008447435E-8,43000.0,81.85581395348838,63.71124378391744,63.65245748893549,63.36573226276002,43000.0,106264.0,37.0,19.0,19.0,6.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,44000.0,3.886401,4.4341435804963107E-8,44000.0,81.94772727272728,63.89550706108065,63.796718322698275,63.55418922639259,44000.0,111856.0,39.0,20.0,20.0,6.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,45000.0,3.942727,4.597135406401422E-8,45000.0,82.04222222222222,64.08459342687172,63.96432552954293,63.731430366680144,45000.0,111856.0,39.0,20.0,20.0,6.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,46000.0,3.998347,4.758084264066484E-8,46000.0,82.12391304347825,64.24861423943429,64.08386110504476,63.862887277521416,46000.0,111856.0,39.0,20.0,20.0,6.0,0.0,0.0,1.0
trees.HoeffdingTree,generators.RandomRBFGenerator,1,47000.0,4.054291,4.9199706878927016E-8,47000.0,82.24255319148936,64.48584431858117,64.31503335043614,64.11094388303592,47000.0,111856.0,39.0,20.0,20.0,6.0,0.0,0.0,1.0
